stato,marca,modello,anno_da,anno_a,nome_file_consigliato
MANCANTE,ALFA ROMEO,159,2005,2011,alfa-romeo-159-2005-2011.png
MANCANTE,ALFA ROMEO,Brera,2006,2026,alfa-romeo-brera-2006-2026.png
PARZIALE,ALFA ROMEO,Giulietta,2015,2018,alfa-romeo-giulietta-2015-2018.png
MANCANTE,AUDI,A3 8P,2003,2013,audi-a3-8p-2003-2013.png
PARZIALE,AUDI,A8,2008,2018,audi-a8-2008-2018.png
MANCANTE,AUDI,D3,2002,2007,audi-d3-2002-2007.png
PARZIALE,AUDI,Q5,2017,2017,audi-q5-2017-2017.png
MANCANTE,CHEVROLET,Corvette C6,2005,2013,chevrolet-corvette-c6-2005-2013.png
PARZIALE,CHEVROLET,Cruze,2013,2014,chevrolet-cruze-2013-2014.png
MANCANTE,CITROEN,C3,2001,2017,citroen-c3-2001-2017.png
PARZIALE,CITROEN,C4,2015,2018,citroen-c4-2015-2018.png
PARZIALE,DACIA,Duster,2016,2017,dacia-duster-2016-2017.png
PARZIALE,DACIA,Sandero,2012,2019,dacia-sandero-2012-2019.png
MANCANTE,DACIA,Universal,2011,2017,dacia-universal-2011-2017.png
PARZIALE,FIAT,500,2015,2015,fiat-500-2015-2015.png
MANCANTE,FIAT,500L,2013,2019,fiat-500l-2013-2019.png
PARZIALE,FORD,Fiesta,2005,2008,ford-fiesta-2005-2008.png
MANCANTE,FORD,Kuga,2013,2017,ford-kuga-2013-2017.png
MANCANTE,FORD,Mondeo,2013,2019,ford-mondeo-2013-2019.png
MANCANTE,FORD,S-Max,2006,2015,ford-s-max-2006-2015.png
PARZIALE,HONDA,CR-V,2008,2011,honda-cr-v-2008-2011.png
MANCANTE,HONDA,Jazz,2008,2013,honda-jazz-2008-2013.png
MANCANTE,HYUNDAI,Elantra,2011,2017,hyundai-elantra-2011-2017.png
MANCANTE,HYUNDAI,I20,2021,2022,hyundai-i20-2021-2022.png
MANCANTE,HYUNDAI,Tucson,2011,2017,hyundai-tucson-2011-2017.png
MANCANTE,HYUNDAI,i10,2013,2018,hyundai-i10-2013-2018.png
MANCANTE,HYUNDAI,i20,2014,2018,hyundai-i20-2014-2018.png
MANCANTE,HYUNDAI,i30,2006,2017,hyundai-i30-2006-2017.png
MANCANTE,JAGUAR,F-Pace,2016,2018,jaguar-f-pace-2016-2018.png
MANCANTE,JAGUAR,F-Type,2013,2020,jaguar-f-type-2013-2020.png
MANCANTE,JAGUAR,XF,2008,2015,jaguar-xf-2008-2015.png
MANCANTE,JAGUAR,XJ,2001,2016,jaguar-xj-2001-2016.png
MANCANTE,JAGUAR,XJL,2010,2018,jaguar-xjl-2010-2018.png
MANCANTE,JAGUAR,XK,2007,2011,jaguar-xk-2007-2011.png
MANCANTE,JEEP,Cherokee,2004,2008,jeep-cherokee-2004-2008.png
MANCANTE,JEEP,Compass,2011,2017,jeep-compass-2011-2017.png
MANCANTE,JEEP,Grand Cherokee,1999,2006,jeep-grand-cherokee-1999-2006.png
MANCANTE,JEEP,Grand Cherokee,2014,2022,jeep-grand-cherokee-2014-2022.png
MANCANTE,JEEP,Renegade,2016,2020,jeep-renegade-2016-2020.png
MANCANTE,JEEP,Wrangler,2002,2006,jeep-wrangler-2002-2006.png
MANCANTE,JEEP,Wrangler,2011,2017,jeep-wrangler-2011-2017.png
MANCANTE,KIA,Niro,2016,2018,kia-niro-2016-2018.png
MANCANTE,KIA,Picanto,2016,2023,kia-picanto-2016-2023.png
MANCANTE,KIA,Rio,2017,2022,kia-rio-2017-2022.png
MANCANTE,KIA,Sportage,2016,2022,kia-sportage-2016-2022.png
MANCANTE,LANCIA,Delta,2009,2019,lancia-delta-2009-2019.png
MANCANTE,LANCIA,Ypsilon,2006,2020,lancia-ypsilon-2006-2020.png
